event_id nfired_ustrips_inroi nfired_vstrips_inroi roi_ustrip_min roi_ustrip_max roi_vstrip_min roi_vstrip_max roi_u_width roi_v_width
260 45 64 2007.00000000 2157.00000000 1890.00000000 2103.00000000 150.00000000 213.00000000
261 66 183 630.00000000 943.00000000 841.00000000 1441.00000000 313.00000000 600.00000000
262 55 103 1671.00000000 1821.00000000 1688.00000000 1901.00000000 150.00000000 213.00000000
263 59 123 2071.00000000 2221.00000000 1996.00000000 2208.00000000 150.00000000 212.00000000
264 81 181 2864.00000000 3125.00000000 2585.00000000 2967.00000000 261.00000000 382.00000000
265 51 66 2900.00000000 3050.00000000 2609.00000000 2821.00000000 150.00000000 212.00000000
266 40 87 2260.00000000 2410.00000000 1963.00000000 2175.00000000 150.00000000 212.00000000
267 57 59 2493.00000000 2643.00000000 2282.00000000 2494.00000000 150.00000000 212.00000000
268 33 70 1909.00000000 2059.00000000 1811.00000000 2023.00000000 150.00000000 212.00000000
269 48 109 2441.00000000 2591.00000000 1626.00000000 1838.00000000 150.00000000 212.00000000
270 29 64 3101.00000000 3251.00000000 2349.00000000 2561.00000000 150.00000000 212.00000000
271 53 51 3129.00000000 3279.00000000 2327.00000000 2539.00000000 150.00000000 212.00000000
272 35 107 2798.00000000 2948.00000000 1897.00000000 2109.00000000 150.00000000 212.00000000
273 79 98 3108.00000000 3258.00000000 2552.00000000 2764.00000000 150.00000000 212.00000000
274 38 66 1288.00000000 1438.00000000 920.00000000 1132.00000000 150.00000000 212.00000000
275 98 191 653.00000000 961.00000000 885.00000000 1479.00000000 308.00000000 594.00000000
276 62 53 2247.00000000 2397.00000000 1704.00000000 1916.00000000 150.00000000 212.00000000
277 50 193 1308.00000000 1542.00000000 1353.00000000 1890.00000000 234.00000000 537.00000000
278 94 102 3529.00000000 3891.00000000 2773.00000000 3118.00000000 362.00000000 345.00000000
279 84 219 1180.00000000 1427.00000000 1283.00000000 1828.00000000 247.00000000 545.00000000
280 54 48 2538.00000000 2688.00000000 2286.00000000 2498.00000000 150.00000000 212.00000000
281 56 108 2039.00000000 2189.00000000 1757.00000000 1969.00000000 150.00000000 212.00000000
282 169 191 869.00000000 1174.00000000 642.00000000 1280.00000000 305.00000000 638.00000000
283 49 70 757.00000000 907.00000000 972.00000000 1184.00000000 150.00000000 212.00000000
284 38 100 1588.00000000 1738.00000000 1059.00000000 1271.00000000 150.00000000 212.00000000
285 128 233 1057.00000000 1343.00000000 688.00000000 1321.00000000 286.00000000 633.00000000
286 32 76 3373.00000000 3523.00000000 2699.00000000 2911.00000000 150.00000000 212.00000000
287 67 210 1298.00000000 1555.00000000 781.00000000 1402.00000000 257.00000000 621.00000000
288 111 61 1040.00000000 1190.00000000 1110.00000000 1323.00000000 150.00000000 213.00000000
289 134 262 1063.00000000 1337.00000000 924.00000000 1522.00000000 274.00000000 598.00000000
290 63 84 2550.00000000 2700.00000000 2223.00000000 2435.00000000 150.00000000 212.00000000
291 23 105 2460.00000000 2610.00000000 2059.00000000 2271.00000000 150.00000000 212.00000000
292 27 62 1890.00000000 2040.00000000 1377.00000000 1589.00000000 150.00000000 212.00000000
293 46 82 2278.00000000 2428.00000000 2094.00000000 2306.00000000 150.00000000 212.00000000
294 39 73 2369.00000000 2519.00000000 1773.00000000 1985.00000000 150.00000000 212.00000000
